item_name,item_id
health draught,11191
health potion,11195
health elixir,11199
mana draught,11291
mana potion,11295
mana elixir,11299
spirit draught,11391
spirit potion,11395
spirit elixir,11399
last elixir,11501
infusion of flames,12101
infusion of frost,12201
infusion of lightning,12301
infusion of storms,12401
infusion of divinity,12501
infusion of darkness,12601
scroll of swiftness,13101
scroll of protection,13111
scroll of avatar,13199
scroll of absorption,13201
scroll of shadows,13211
scroll of life,13221
scroll of gods,13299
flower vase,19111
bubble-gum,19131
manBearPig tail,30016
holy hand hrenade of antioch,30017
mithra's flower,30018
dalek voicebox,30019
lock of blue hair,30020
bunny-girl costume,30021
hinamatsuri doll,30022
broken glasses,30023
black t-shirt,30024
sapling,30030
unicorn horn,30031
noodly appendage,30032
mysterious box,30001
solstice gift,30002
tenbora's box,30004
shimmering present,30005
gift pony,30006
fire keeper soul,30007
six-lock box,30008
reindeer antlers,30009
heart locket,30010
dinosaur egg,30011
mysterious tooth,30012
delicate flower,30013
iron heart,30014
platinum coupon,31001
gold coupon,31002
silver coupon,31003
bronze coupon,31004
realPervert badge,32001
Potato Battery,32002
rainbow egg,32003
colored egg,32004
raptor jesus,32005
faux rainbow mane cap,32006
pegasopolis emblem,32007
crystalline galanthus,32008
sense of self-satisfaction,32009
golden one-bit coin,32010
usb asic miner,32011
ancient porn stash,32012
vps hosting coupon,32013
holographic rainbow projector,32014
pot of gold,32015
precursor smoothie blender,32016
rainbow smoothie,32017
abstract wire sculpture,32018
grammar nazi armband,32019
coin collector's guide,32020
assorted coins,32021
plague mask,32022
vaccine certificate,32023
coreCare starter kit,32024
museum ticket,32025
ai-based captcha solver,32026
annoying gun,32201
barrel,32202
star compass,32203
idol fan Starter Ppack,32204
vintage paper tag,32205
marten Ppelt,32206
crystal of vigor,50001
crystal of finesse,50002
crystal of swiftness,50003
crystal of fortitude,50004
crystal of cunning,50005
crystal of knowledge,50006
crystal of flames,50011
crystal of frost,50012
crystal of lightning,50013
crystal of tempest,50014
crystal of devotion,50015
crystal of corruption,50016
monster chow,51001
monster edibles,51002
monster cuisine,51003
happy pills,51011
low-grade cloth,60001
mid-grade cloth,60002
high-grade cloth,60003
low-grade leather,60004
mid-grade leather,60005
high-grade leather,60006
low-grade metals,60007
mid-grade metals,60008
high-grade metals,60009
low-grade wood,60010
mid-grade wood,60011
high-grade wood,60012
scrap cloth,60051
scrap leather,60052
scrap metal,60053
scrap wood,60054
energy cell,60071
crystallized phazon,60101
shade fragment,60102
repurposed actuator,60104
defense matrix modulator,60105
binding of slaughter,60201
binding of balance,60202
binding of destruction,60203
binding of focus,60204
binding of protection,60205
binding of the fleet,60206
binding of the barrier,60207
binding of the nimble,60208
binding of the elementalist,60209
binding of the heaven-sent,60210
binding of the demon-fiend,60211
binding of the curse-weaver,60212
binding of the earth-walker,60213
binding of surtr,60215
binding of niflheim,60216
binding of mjolnir,60217
binding of freyr,60218
binding of heimdall,60219
binding of fenrir,60220
binding of dampening,60221
binding of stoneskin,60222
binding of deflection,60223
binding of the fire-eater,60224
binding of the frost-born,60225
binding of the thunder-child,60226
binding of the wind-waker,60227
binding of the thrice-blessed,60228
binding of the spirit-ward,60229
binding of the ox,60230
binding of the raccoon,60231
binding of the cheetah,60232
binding of the turtle,60233
binding of the fox,60234
binding of the owl,60235
binding of warding,60236
binding of negation,60237
binding of isaac,60238
binding of friendship,60239
legendary weapon core,60402
legendary staff core,60412
legendary armor core,60422
voidseeker shard,61001
aether shard,61101
featherweight shard,61501
amnesia shard,65001
precursor artifact,20001
twilight sparkle figurine,70001
rainbow dash figurine,70002
applejack figurine,70003
fluttershy figurine,70004
pinkie pie figurine,70005
rarity figurine,70006
trixie figurine,70007
princess celestia figurine,70008
princess luna figurine,70009
apple bloom figurine,70010
scootaloo figurine,70011
sweetie belle figurine,70012
big macintosh figurine,70013
spitfire figurine,70014
derpy hooves figurine,70015
lyra heartstrings figurine,70016
octavia figurine,70017
zecora figurine,70018
cheerilee figurine,70019
vinyl scratch figurine,70020
daring do figurine,70021
doctor whooves figurine,70022
berry punch figurine,70023
bon-Bon figurine,70024
fluffle puff figurine,70025
angel bunny figurine,70101
gummy figurine,70102